drug,family,fold,model_id,lineage,true_auc,predicted_auc,interval_lower,interval_upper,true_sensitive,sensitivity_probability,predicted_sensitive,decision_threshold,sensitive_auc_max,resistant_auc_min,technical_eligibility,n_fit,n_calibration
gemcitabine,lineage,1,ACH-000313,kidney,0.112834159886351,0.21829471049905003,0.015556006221305763,0.4210334147767943,1.0,0.519632087829168,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000383,esophagus/stomach,0.146899069648402,0.2498620719982937,0.047123367720549425,0.45260077627603795,,0.4740850545766446,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000917,esophagus/stomach,0.193568089349458,0.2498620719982937,0.047123367720549425,0.45260077627603795,,0.4740850545766446,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000117,breast,0.452370207132767,0.3114051936207112,0.10866648934296691,0.5141438978984554,0.0,0.45779771815995646,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000322,skin,0.264768537603611,0.2560953506404566,0.05335664636271231,0.45883405491820084,,0.48901418245912937,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000332,pancreas,0.266211318551093,0.26632468435602963,0.06358598007828536,0.4690633886337739,,0.48901418245912937,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000848,liver,0.116449070065414,0.3260296018395843,0.12329089756184003,0.5287683061173285,1.0,0.504490254824359,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000684,kidney,0.12661319144816,0.21829471049905003,0.015556006221305763,0.4210334147767943,1.0,0.519632087829168,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000732,head and neck,0.0701991976207702,0.2208611238055497,0.01812241952780544,0.423599828083294,1.0,0.519632087829168,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000896,bladder/urinary tract,0.146939419411222,0.1684953413747483,-0.034243362902995955,0.3712340456524926,,0.5299488484079066,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000784,esophagus/stomach,0.539503519613251,0.2498620719982937,0.047123367720549425,0.45260077627603795,0.0,0.4740850545766446,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000517,pancreas,0.205396054955735,0.26632468435602963,0.06358598007828536,0.4690633886337739,,0.48901418245912937,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000108,pancreas,0.37772810609291,0.26632468435602963,0.06358598007828536,0.4690633886337739,0.0,0.48901418245912937,0,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000866,lung,0.0260816167143128,0.21032854701494436,0.007589842737200092,0.4130672512926886,1.0,0.5281672129935321,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000163,head and neck,0.120233378230922,0.2208611238055497,0.01812241952780544,0.423599828083294,1.0,0.519632087829168,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000532,bowel,0.251184051125822,0.19991606060876888,-0.0028226436689753887,0.40265476488651314,,0.5199662556250999,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
gemcitabine,lineage,1,ACH-000901,lung,0.297120905569749,0.21032854701494436,0.007589842737200092,0.4130672512926886,,0.5281672129935321,1,0.5,0.13574784670607976,0.314428874853682,False,190,48
