drug,family,fold,model_id,lineage,true_auc,predicted_auc,interval_lower,interval_upper,true_sensitive,sensitivity_probability,predicted_sensitive,decision_threshold,sensitive_auc_max,resistant_auc_min,technical_eligibility,n_fit,n_calibration
olaparib,lineage,1,ACH-000792,kidney,1.2383497188049049,1.0027716172068466,0.7750849855857651,1.230458248827928,0.0,0.48267127659291337,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000008,skin,0.9559473207912822,1.0184516473327057,0.7907650157116242,1.2461382789537871,,0.48013319608824767,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000785,lung,1.146707930706035,0.97388320000284,0.7461965683817585,1.2015698316239214,0.0,0.48818212258628985,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000035,lung,1.138121412929735,0.97388320000284,0.7461965683817585,1.2015698316239214,0.0,0.48818212258628985,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000222,pancreas,1.43640826576765,1.0311155010364164,0.8034288694153349,1.2588021326574979,0.0,0.48186098992217813,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000978,uterus,1.0206475114749456,1.0231112794431245,0.795424647822043,1.250797911064206,,0.48065646653777694,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000441,skin,1.0891387958794447,1.0184516473327057,0.7907650157116242,1.2461382789537871,,0.48013319608824767,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000971,bowel,0.8553630653424862,1.0257009129180497,0.7980142812969682,1.2533875445391311,1.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000481,lung,1.059831349898263,0.97388320000284,0.7461965683817585,1.2015698316239214,,0.48818212258628985,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000858,lung,1.1865367912180051,0.97388320000284,0.7461965683817585,1.2015698316239214,0.0,0.48818212258628985,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000784,esophagus/stomach,0.950579942300402,1.0105179261612878,0.7828312945402063,1.2382045577823693,,0.48431413556128544,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000329,cns/brain,1.27390651312759,0.9959009642281349,0.7682143326070534,1.2235875958492164,0.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000545,bladder/urinary tract,1.004863575554926,0.9899887002731661,0.7623020686520846,1.2176753318942475,,0.48186098992217813,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000087,bone,0.7913945700772289,0.9467290383534926,0.7190424067324112,1.1744156699745743,1.0,0.48909989206563,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000391,bone,0.7259680880979746,0.9467290383534926,0.7190424067324112,1.1744156699745743,1.0,0.48909989206563,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000503,head and neck,1.0603935248593286,0.9747099647080602,0.7470233330869787,1.2023965963291416,,0.48770045372214066,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000719,ovary/fallopian tube,0.9544545231680652,0.9708554044861903,0.7431687728651089,1.1985420361072718,,0.48641837478832095,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000037,soft tissue,0.849462832536257,0.9156880684600045,0.688001436838923,1.143374700081086,1.0,0.4891461489800065,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000486,bladder/urinary tract,0.8727817920908654,0.9899887002731661,0.7623020686520846,1.2176753318942475,1.0,0.48186098992217813,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000679,esophagus/stomach,1.15387366659573,1.0105179261612878,0.7828312945402063,1.2382045577823693,0.0,0.48431413556128544,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000955,bowel,0.8444029229576715,1.0257009129180497,0.7980142812969682,1.2533875445391311,1.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000270,pancreas,0.8922698887503138,1.0311155010364164,0.8034288694153349,1.2588021326574979,1.0,0.48186098992217813,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000614,skin,1.0875719143941704,1.0184516473327057,0.7907650157116242,1.2461382789537871,,0.48013319608824767,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000265,pancreas,1.0665402137224875,1.0311155010364164,0.8034288694153349,1.2588021326574979,,0.48186098992217813,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000716,thyroid,0.8414691548441928,1.047967764365215,0.8202811327441335,1.2756543959862965,1.0,0.4813745430570806,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000988,uterus,1.08014356529239,1.0231112794431245,0.795424647822043,1.250797911064206,,0.48065646653777694,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000504,cns/brain,0.8719176892379884,0.9959009642281349,0.7682143326070534,1.2235875958492164,1.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000397,uterus,0.926911935027994,1.0231112794431245,0.795424647822043,1.250797911064206,,0.48065646653777694,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000572,skin,0.9401693349196155,1.0184516473327057,0.7907650157116242,1.2461382789537871,,0.48013319608824767,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000277,breast,1.1199690169691823,0.9846111847375498,0.7569245531164683,1.2122978163586313,0.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000803,lung,0.942118193152514,0.97388320000284,0.7461965683817585,1.2015698316239214,,0.48818212258628985,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000537,liver,1.136608986917774,1.0112040113959337,0.7835173797748523,1.2388906430170152,0.0,0.4829709407505156,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000735,head and neck,1.10560966409357,0.9747099647080602,0.7470233330869787,1.2023965963291416,0.0,0.48770045372214066,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
olaparib,lineage,1,ACH-000882,skin,0.9856127186602961,1.0184516473327057,0.7907650157116242,1.2461382789537871,,0.48013319608824767,0,0.5,0.9020287229905802,1.0926271479268532,False,239,60
